provider,title,offer_text,conditions,discount_percent,offer_url,source_url,fetched_at
Biossance,Biossance: 20% Off TEACHERS A little thank,20% OFF FOR TEACHERS A little thank you for everything you do. Verify your status to receive 20% off. Unlock Now,FOR TEACHERS A little thank you for everything you do,20,https://secure.gocertify.me/at/biossance/teacher,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Biossance,Biossance: Free Shipping IN APP,FREE SHIPPING IN APP,IN APP,,https://www.biossance.com/c/offers/,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Biossance,Biossance: Free Shipping IN APP Exclusively on,FREE SHIPPING IN APP Exclusively on the Biossance app DOWNLOAD APP,IN APP Exclusively on the Biossance app DOWNLOAD APP,,https://www.biossance.com/c/biossance-app/,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Boll & Branch,Boll & Branch: 15% Off your first order of,15% off your first order of $200+,Your first order of $200+,15,https://www.bollandbranch.com/collections/sale/,https://www.bollandbranch.com/collections/sale/,2026-09-17T06:21:16+00:00
Cocokind,Cocokind: 10% Off plus early access,"get 10% off plus early access to launches, skincare tips and more","Plus early access to launches, skincare tips and more",10,https://www.cocokind.com/collections/sale,https://www.cocokind.com/collections/sale,2026-09-17T06:22:41+00:00
Cocokind,Cocokind: Free Shipping on orders $50+,Free shipping on orders $50+,On orders $50+,,https://www.cocokind.com/collections/sale,https://www.cocokind.com/collections/sale,2026-09-17T06:22:41+00:00
Coterie,Coterie: 10% Off every Auto Renew order,10% off every Auto Renew order. Free shipping when you bundle.,Every Auto Renew order,10,https://www.coterie.com/military,https://www.coterie.com/military,2026-09-17T06:59:46+00:00
Coterie,Coterie: 15% Off Auto-Renew Orders,Military Discounts | 15% Off Auto-Renew Orders,Auto-Renew Orders,15,https://www.coterie.com/military,https://www.coterie.com/military,2026-09-17T06:59:46+00:00
Coterie,Coterie: Free Shipping on both of your,"If you are looking to create an additional monthly shipment, proceed to checkout. Note that with your second Auto-Renew purchase you will qualify for free shipping on both of your active Auto-Renews.",On both of your active Auto-Renews,,https://www.coterie.com/military,https://www.coterie.com/military,2026-09-17T06:59:46+00:00
Cotopaxi,Cotopaxi: Free Shipping On Orders $99+,Free Standard Shipping On Orders $99+,On Orders $99+,,https://www.cotopaxi.com/collections/sale,https://www.cotopaxi.com/collections/sale,2026-09-17T06:21:02+00:00
Cotopaxi,Cotopaxi: HOLIDAY GIFT WITH PURCHASE,HOLIDAY GIFT WITH PURCHASE,HOLIDAY GIFT WITH PURCHASE,,https://www.cotopaxi.com/collections/sale,https://www.cotopaxi.com/collections/sale,2026-09-17T06:21:02+00:00
Dell,Dell: Extra 50% Off AW5625P Backpack,​Get extra 50% off AW5625P Backpack with any Alienware Laptop purchase,AW5625P Backpack with any Alienware Laptop purchase,50,https://www.dell.com/en-us/shop/dell-deals/ar/8240,https://www.dell.com/en-us/shop/dell-deals/ar/8240,2026-09-17T02:25:27+00:00
Dell,Dell: Extra 50% Off AW7825P Backpack,​Get extra 50% off AW7825P Backpack with any Alienware Laptop purchase,AW7825P Backpack with any Alienware Laptop purchase,50,https://www.dell.com/en-us/shop/dell-deals/ar/8240,https://www.dell.com/en-us/shop/dell-deals/ar/8240,2026-09-17T02:25:27+00:00
Dell,Dell: Free Shipping on accessories,Does Dell offer free shipping on accessories?,On accessories,,https://www.dell.com/en-us/shop/dell-deals/ar/8240,https://www.dell.com/en-us/shop/dell-deals/ar/8240,2026-09-17T02:25:27+00:00
Ergobaby,Ergobaby: 15% Off your first purchase,"If you sign up here, it can. Get 15% off your first purchase.",Your first purchase,15,https://ergobaby.com/en-us/collections/sale,https://ergobaby.com/en-us/collections/sale,2026-09-17T06:59:48+00:00
Ergobaby,Ergobaby: Free Shipping OVER $50 USD,FREE SHIPPING OVER $50 USD,OVER $50 USD,,https://ergobaby.com/en-us/collections/sale,https://ergobaby.com/en-us/collections/sale,2026-09-17T06:59:48+00:00
Everlane,Everlane: 15% Off your first order,for 15% off your first order.,Your first order,15,https://www.everlane.com/collections/womens-sale,https://www.everlane.com/collections/womens-sale,2026-09-17T06:21:51+00:00
Everlane,Everlane: 20% Off your first order,Sign up to receive 20% off your first order.,Your first order,20,https://www.everlane.com/collections/womens-sale,https://www.everlane.com/collections/womens-sale,2026-09-17T06:21:51+00:00
Faherty,Faherty: 15% Off your first online purchase,Get 15% off your first online purchase when you sign up!,Your first online purchase when you sign up,15,https://fahertybrand.com/collections/sale,https://fahertybrand.com/collections/sale,2026-09-17T06:21:53+00:00
Faherty,Faherty: Free Shipping ON ORDERS $150+,FREE SHIPPING ON ORDERS $150+,ON ORDERS $150+,,https://fahertybrand.com/collections/sale,https://fahertybrand.com/collections/sale,2026-09-17T06:21:53+00:00
Faherty,Faherty: Free Shipping Over $150,Free Shipping Over $150,Over $150,,https://fahertybrand.com/collections/sale,https://fahertybrand.com/collections/sale,2026-09-17T06:21:53+00:00
Gap,Gap: 30% Off your purchase with Code YOURS,30% off your purchase. Code YOURS,Your purchase; Code YOURS,30,https://www.gap.com/browse/category.do?cid=6998,https://www.gap.com/browse/category.do?cid=6998,2026-09-17T06:18:31+00:00
Gap,Gap: Extra 20% Off your first purchase,Extra 20% off your first purchase with your new card.,Your first purchase with your new card,20,https://www.gap.com/browse/category.do?cid=6998,https://www.gap.com/browse/category.do?cid=6998,2026-09-17T06:18:31+00:00
Google Store,"Google Store: $1,100 Off","Get the new Google Pixel 11 Pro on us or get $1,100 off the new Google Pixel 11 Pro XL, plus $10/mo off your phone plan when you join Google Fi Wireless.","The new Google Pixel 11 Pro XL, plus $10/mo off your phone plan when you join Google Fi Wireless",,https://store.google.com/us/collection/offers?hl=en-US,https://store.google.com/us/collection/offers?hl=en-US,2026-09-17T06:21:00+00:00
Google Store,Google Store: $300 Off,"Get $300 off instantly and $799 back over 24 monthly credits. Plus, a $10/mo service credit for 2 years on the Unlimited Premium plan.",Instantly and $799 back over 24 monthly credits,,https://store.google.com/us/collection/offers?hl=en-US,https://store.google.com/us/collection/offers?hl=en-US,2026-09-17T06:21:00+00:00
Google Store,Google Store: Up To 40% Off a Google-certified refurbished Pixel,Get up to 40% off a Google-certified refurbished Pixel phone.,A Google-certified refurbished Pixel phone,40,https://store.google.com/us/collection/offers?hl=en-US,https://store.google.com/us/collection/offers?hl=en-US,2026-09-17T06:21:00+00:00
Great Jones,"Great Jones: Free Shipping $100+, 30-day trial, free","Free shipping $100+, 30-day trial, free returns","$100+, 30-day trial, free returns",,https://greatjonesgoods.com/collections/warehouse-sale,https://greatjonesgoods.com/collections/warehouse-sale,2026-09-17T06:21:13+00:00
